year;month;city;country
2012;4;Iowa City;USA
2012;4;Washington DC;USA
2012;4;Nijmegen;Netherlands
2012;1;;Japan
2012;1;Cesky Krumlov;Czech Republic
2011;12;Embrapa;Brasil
2011;11;New York;USA
2011;10;Toronto;Canada
2011;10;Canberra;Australia
2011;10;Washington DC;USA
2011;9;Washington DC;USA
2011;9;Davis;USA
2011;9;Birmingham;USA
2011;7;Fort Collins;USA
2011;6;Los Angeles;USA
2011;6;Washington DC;USA
2011;6;Kansas;USA
2011;5;Amsterdam;Netherlands
2011;5;Manchester;United Kingdom
2011;1;Cesky Krumlov;Czech Republic
2010;11;New York;USA
2010;11;Washington DC;USA
